RID,POSTED_BY,BHK_NO,SQUARE_FT,BATH,BALCONY,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,Label,results
AREOHWLWVX0A8,Dealer,3 BHK,1000.0,2.0,1,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,12.5,0,0
ADWJAJZTHNYN6,Dealer,4 BHK,1400.107701,2.0,0,"Sector 84 Faridabad,Faridabad",28.404729999999997,77.367514,52.0,1,1
A3UD9G34YLWVXE,Dealer,3 BHK,943.1266075999999,2.0,1,"Sector-134 Noida,Noida",28.5041,77.381557,33.0,0,0
A2Y4IWY1ZXLXH8,Owner,3 BHK,1150.1463820000001,2.0,2,"Indra Colony,Jaipur",26.586306,74.873234,55.0,0,0
AHAX3RWULQD6T,Dealer,3 BHK,864.0674393999999,3.0,3,"Thane West,Lalitpur",19.18,72.96333,82.0,0,0
A2LFHPZFG1OHBZ,Dealer,3 BHK,857.7861968000001,3.0,2,"Mulund (West),Maharashtra",19.1759,72.9522,240.0,1,1
A297HRGWRID7I6,Owner,2 BHK,1174.210077,2.0,1,"Thalambur,Chennai",12.852171,80.216826,55.0,0,0
AMYAHFQZI19LS,Dealer,2 BHK,1020.087884,2.0,1,"Wakad,Pune",18.5993,73.7625,65.0,1,1
A28VTF9FQ42SBV,Owner,3 BHK,1650.165017,3.0,2,"Vasna,Vadodara",22.312063000000002,72.674296,65.0,0,0
A2H03V8PAZDU9J,Dealer,3 BHK,1000.0,2.0,2,"Madhurawada,Visakhapatnam",17.815234,83.35818,35.0,1,1
AUXHG88OYWCGM,Owner,2 BHK,1300.052002,2.0,2,"Vasanthapura,Bangalore",12.894088,77.548914,75.0,0,0
ATN552TF5V40Z,Dealer,2 BHK,40606.195680000004,2.0,2,"Kanjur Marg (East),Lalitpur",24.690279999999998,78.41889,9110.0,1,1
A3DSWITPB6NBT5,Dealer,3 BHK,1058.114928,3.0,2,"Sus,Pune",18.539812,73.737678,65.0,1,1
A215QEI3FPLVXU,Dealer,1 BHK,400.0,1.0,0,"Kharadi,Pune",18.5438,73.9438,30.0,0,0
AAZ084UMH8VZ2,Dealer,1 BHK,1274.924779,1.0,0,"Marol,Mumbai",22.803593,83.755013,250.0,1,1
AFLLCB3F28N6A,Dealer,2 BHK,1026.694045,2.0,2,"Wadala East,Lalitpur",19.014858,72.8662,220.0,0,0
A3T8PIRVS2LX4P,Owner,8 BHK,1150.121065,9.0,2,"Near Ambamata Mandir,Vapi",20.366670000000003,72.9,38.0,0,0
A18RVAXFLALN6E,Owner,2 BHK,1200.0,2.0,0,"Patel Nagar-II,Ghaziabad",28.460928000000003,77.03939100000001,60.0,1,1
AVPSSODZIDABZ,Dealer,2 BHK,475.01032630000003,2.0,1,"Balkum,Lalitpur",24.690279999999998,78.41889,46.0,1,1
A2RXRKRI8YSQWQ,Builder,2 BHK,301.91711630000003,1.0,1,"Taloja,Lalitpur",24.690279999999998,78.41889,26.3,0,0
A2KADAQBR8NG80,Dealer,2 BHK,1228.5714289999999,2.0,1,"Bolar,Mangalore",12.843852,74.845271,51.6,1,1
A2L3IECPFB956F,Owner,2 BHK,986.0164934000001,2.0,1,"Ayanambakkam,Chennai",13.077175,80.151453,55.0,0,0
A137DV4YVGWDCR,Dealer,3 BHK,1972.5651579999999,3.0,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,71.9,1,1
A89KN0ADLUNPW,Dealer,3 BHK,420.6166888,3.0,2,"Sindhi Society Chembur,Lalitpur",19.048403,72.88731,130.0,0,0
A1SH7OWQ98P6FI,Owner,2 BHK,1275.009808,2.0,2,"Shiv Mandir,Siliguri",25.232239,71.392013,32.5,1,1
AJM8UGFV16NS8,Dealer,3 BHK,406.024219,2.0,3,"Kalyan (West),Maharashtra",19.245347,73.124577,39.9,0,0
AVD1K8KU6Z86U,Dealer,2 BHK,1862.562189,2.0,2,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,59.9,0,0
AJ7Q49CTJ1BOC,Owner,4 BHK,950.0146156,,2,"Nandanwan Phases 2,Aurangabad",19.88879,75.34344,65.0,0,0
A2MMFEZ728S1MA,Owner,2 BHK,5200.945626,2.0,2,"Sector-76 Noida,Noida",28.567633,77.383124,110.0,0,0
A1GUR2DMGWUIGL,Dealer,3 BHK,1049.9693439999999,2.0,1,"Basaveshwara Nagar,Bangalore",12.985039,77.54383,68.5,0,0
A2CU16YU1KEOUY,Dealer,2 BHK,1615.008157,2.0,2,"Maniktala,Kolkata",22.589694,88.372957,99.0,1,1
A6Y49ZNS6NPN0,Dealer,3 BHK,1150.0069,3.0,2,"Wadala East,Lalitpur",19.014858,72.8662,250.0,1,1
A3G467T8H2U4F1,Owner,2 BHK,1100.0,2.0,1,"Jhotwara,Jaipur",26.955346000000002,75.73479300000001,27.5,0,0
AKG4UJNVSHHAD,Dealer,4 BHK,906.2661832999999,3.0,3,"Balkum,Lalitpur",24.690279999999998,78.41889,70.0,1,1
A1J7ZSFU0SO3D4,Owner,2 BHK,1454.333915,2.0,2,"Poolakkaparambu,Ottapalam",10.77,76.38,50.0,0,0
A3GLQSR6MTHXGL,Owner,8 BHK,1591.994542,8.0,0,"Sector-137 Noida,Noida",28.506453999999998,77.40956800000001,70.0,1,1
A3KVJ2DVCLO0HB,Dealer,2 BHK,573.8769151,2.0,1,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,22.1,1,1
A24GM452AKJTT9,Dealer,2 BHK,1038.883942,2.0,3,"Powai,Mumbai",19.12,72.91,280.0,0,0
A328TUPI6HYZSF,Owner,2 BHK,1538.141758,2.0,1,"Yelahanka,Bangalore",13.11389,77.59833,74.0,1,1
A28D8FT2NNCS2Z,Owner,8 BHK,5000.0,7.0,0,"Malviya Nagar,Jaipur",26.850391,75.814198,85.0,1,1
A2EVOV2OZBQU53,Dealer,2 BHK,1602.084012,2.0,1,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,49.2,0,0
A1447CDAPZGLYV,Owner,3 BHK,1200.0,3.0,2,"Madhuranagar,Vijayawada",16.51667,80.61667,45.0,1,1
A156LLD3VZJGC2,Owner,2 BHK,760.0709400000001,2.0,1,"Tilakwadi,Belgaum",15.866670000000001,74.5,60.0,0,0
A1KZ67VEU7CJQ3,Owner,3 BHK,739.8273736000001,3.0,1,"tallaiya,Bhopal",23.25,77.41667,30.0,1,1
A26EQ8U96JA92T,Owner,2 BHK,1260.02291,2.0,1,"Mulki,Mangalore",13.0915,74.7844,33.0,0,0
A2CHZ5Q2EF3IR3,Owner,3 BHK,1100.151745,3.0,2,"Manewada,Nagpur",21.093676000000002,79.111965,29.0,1,1
AD5WAUA14YD6N,Dealer,2 BHK,2293.077091,2.0,1,"Kharadi,Pune",18.5438,73.9438,210.0,0,0
AHMKE1AJEHHS3,Dealer,2 BHK,1146.480331,2.0,3,"Sector-8 Ulwe,Lalitpur",19.216097,72.821721,88.6,1,1
A6VEEE9HOL004,Dealer,3 BHK,2224.059764,3.0,3,"Goregaon (East),Lalitpur",19.1615,72.8731,780.0,0,0
A3JBI5QDS32UEM,Dealer,2 BHK,759.8784195000001,1.0,0,"Joka,Kolkata",22.452032,88.298947,30.0,1,1
AMNCDXFZKL6MZ,Owner,3 BHK,2260.251857,3.0,3,"Wilson Garden,Bangalore",12.9506,77.5952,140.0,0,0
A2B7A8FJBT0HDX,Dealer,3 BHK,767.0182167,2.0,2,"DN Nagar,Maharashtra",20.742166,80.104602,240.0,1,1
AEIAXBIMAO9T0,Owner,4 BHK,2500.0,,2,"Ramprastha,Ghaziabad",28.66667,77.41667,160.0,1,1
A2OB1BFAEPAYBM,Dealer,2 BHK,2286.2368539999998,2.0,2,"Gomti Nagar Extension,Lucknow",21.0,77.0,100.0,0,0
A3GT3KCGY9EYF4,Owner,3 BHK,1150.086256,2.0,2,"Sector-74 Noida,Noida",28.577672999999997,77.389781,60.0,1,1
A2LYOWC3FC73XK,Dealer,3 BHK,1004.932182,3.0,2,"New Panvel,Mumbai",18.966114,73.148278,81.5,0,0
A7DSY3M6P6RG3,Owner,3 BHK,800.0,7.0,2,"Prantik,Kolkata",22.56972,88.36972,34.0,0,0
A1DTDSL1J6C05F,Dealer,3 BHK,993.75,3.0,2,"Subhas Pally,Siliguri",26.706157,88.439748,31.8,1,1
A19Y7MSOR2J7XP,Dealer,2 BHK,1298.139334,2.0,2,"Jatkhedi,Bhopal",23.169982,77.477889,30.0,1,1
ATBV3QRAVD2PJ,Dealer,2 BHK,996.797438,2.0,2,"Raj Nagar Extension,Ghaziabad",26.900926000000002,75.775927,24.9,0,0
A226DRVTNFWM28,Owner,3 BHK,985.0194951999999,3.0,3,"CV Raman Nagar,Bangalore",12.985560000000001,77.66389000000001,48.0,1,1
ASIAOU4JW8LUG,Dealer,2 BHK,1118.75,2.0,2,"Medavakkam,Chennai",12.91716,80.19287,53.7,0,0
A2VOVLKP603R1T,Dealer,2 BHK,889.8305085000001,2.0,1,"Sector-137 Noida,Noida",28.506453999999998,77.40956800000001,42.0,1,1
A2XADCFYDXH7IV,Owner,3 BHK,2738.22563,2.0,2,"Basapura,Bangalore",12.863421,77.652405,150.0,0,0
A1KZUXE70GYNGO,Dealer,4 BHK,1725.4901960000002,2.0,2,"Deonar,Maharashtra",19.049513,72.91920400000001,440.0,1,1
A221AFCU6AE0QO,Dealer,2 BHK,2488.004265,2.0,3,"Sector-82 Mohali,Mohali",30.654128000000004,76.732427,140.0,0,0
A2BAVWMHL130WY,Dealer,3 BHK,1200.082764,3.0,2,"Satgachi,Kolkata",23.207157000000002,88.404471,58.0,0,0
A20B2BU1ZPY9AW,Dealer,4 BHK,1584.283904,2.0,1,"Tilak Nagar,Kanpur",26.459137,79.506922,100.0,1,1
A2T68P9I05KBFT,Owner,3 BHK,900.0,2.0,1,"Kalol,Gandhinagar",23.2257,72.51679,18.0,0,0
A2SLZMD0UYRT5X,Dealer,2 BHK,1193.440032,2.0,1,"Talegaon,Pune",18.441256,74.647361,60.4,0,0
A3UM3M6WSUN5BR,Owner,3 BHK,1487.357462,3.0,1,"Mansarovar Extension,Jaipur",26.8626,75.7633,30.0,1,1
A4TLHOUT1PHTL,Owner,3 BHK,989.9029895,3.0,3,"Sector-143 Noida,Noida",28.5035,77.426447,50.0,1,1
A3DKCBKDEO2GS3,Dealer,2 BHK,1155.020213,1.0,1,"Bhandup (West),Maharashtra",19.147866,72.932609,140.0,0,0
A1J87LOAYSMHO9,Owner,3 BHK,949.8931369999999,2.0,1,"Eswaran Koil Street,Pondicherry",11.93,79.83,80.0,1,1
A1OIMIM4FHT4IG,Owner,2 BHK,875.0,2.0,2,"Sector-78 Noida,Noida",28.560719,77.386208,49.0,0,0
A3OXHLG6DIBRW8,Dealer,2 BHK,853.3611982000001,2.0,2,"Ananth Nagar,Bangalore",12.96991,77.59796,24.5,1,1
A2TJG4N8LNJW23,Owner,2 BHK,483.0917874,2.0,2,"Roha,Raigad",18.4543,73.1147,18.0,1,1
A2129VQGGHR150,Dealer,3 BHK,800.0,2.0,1,"Thane West,Maharashtra",19.18,72.96333,95.0,1,1
A1HQV09XG1Z0YW,Owner,3 BHK,802.0415602999999,3.0,2,"Ankur Vihar,Ghaziabad",28.66667,77.41667,22.0,1,1
A2ZNLPYMZOXLGX,Dealer,2 BHK,610.0660905,2.0,2,"Koyambedu,Chennai",13.069866000000001,80.19842299999999,48.0,1,1
A5IWYNX8RHRKL,Owner,2 BHK,1680.107527,2.0,2,"Naveen Nagar,Kanpur",28.861993,78.756315,75.0,0,0
A139RTDNMU3WY5,Owner,3 BHK,1150.136038,3.0,3,"Nirman Nagar,Jaipur",19.980678,79.297436,93.0,1,1
A212PEJ8E3TS3V,Owner,3 BHK,1550.114497,2.0,2,"Sector-75 Noida,Noida",28.576117,77.382136,88.0,0,0
AS89BWXQRDAMV,Owner,2 BHK,1699.834163,2.0,1,"Sahibabad,Ghaziabad",28.6711,77.3683,82.0,1,1
A3OOAICYUJT8EL,Owner,3 BHK,1600.170685,2.0,1,"Tripunithura,Kochi",9.952439,76.36329649999999,75.0,0,0
AMN6JEQ31G052,Owner,4 BHK,600.0566091,2.0,1,"Pen,Raigad",18.75,73.08,21.2,1,1
A35G909LKGM6R1,Dealer,3 BHK,1429.200617,3.0,2,"Sector-66A Mohali,Mohali",30.661103999999998,76.746082,64.9,0,0
A1KQXO716WOOD6,Owner,3 BHK,1115.1379980000002,2.0,3,"Dodda Banaswadi,Bangalore",13.008071000000001,77.65129499999999,80.0,1,1
A3AEEQSKFVN9NB,Dealer,3 BHK,2750.929368,3.0,1,"Sikandra,Agra",27.216013,77.950834,74.0,0,0
A25C2M3QF9G7OQ,Owner,2 BHK,1811.1964870000002,2.0,2,"Kanke,Ranchi",23.35556,85.33471999999999,99.0,1,1
A1ZZMVHSLQSE7R,Owner,2 BHK,1045.036079,3.0,3,"Narendrapur,Kolkata",22.43917,88.39583,42.0,0,0
A37RRNHOYQ7JPH,Dealer,3 BHK,3433.996566,3.0,2,"Sector-65 Gurgaon,Gurgaon",28.403138000000002,77.070052,340.0,1,1
AQDT2YOPW35IU,Owner,3 BHK,1298.219585,3.0,1,"Electronics City Phase 1,Bangalore",12.840956,77.659441,70.0,1,1
A2JH47KQUPWVRO,Owner,4 BHK,1109.165207,2.0,0,"Katapady,Udupi",13.278236999999999,74.747328,38.0,0,0
A2609IIYREBZRT,Dealer,4 BHK,1304.034182,2.0,2,"Kanchpada,Maharashtra",18.96,72.82,470.0,1,1
AC8PTTE9SEU9E,Dealer,3 BHK,1041.195111,2.0,2,"Sector-70 Noida,Noida",28.596320000000002,77.38143000000001,46.0,0,0
A2FZRO46DF0UHN,Dealer,2 BHK,2135.748916,2.0,1,"Sector 82 Faridabad,Faridabad",28.394375,77.35722700000001,83.7,0,0
A1FERORG6RB1ZP,Owner,3 BHK,1850.180505,3.0,2,"Noida Extension,Noida",28.579003999999998,77.431173,82.0,1,1
A1H2R3U6I562W,Dealer,2 BHK,1665.080875,2.0,1,"Kudasan,Gandhinagar",23.166495,72.63429000000001,70.0,1,1
A30WKTJDBRD5UA,Owner,2 BHK,398.2621289,2.0,1,"Purseni,Lucknow",26.707154,80.98234599999999,11.0,0,0
A13T2G4T8LR8XA,Owner,7 BHK,1005.025126,7.0,0,"Chandapura,Bangalore",12.800089999999999,77.71181999999999,48.0,1,1
A72H1W5S6UFMY,Dealer,3 BHK,4900.959771,3.0,3,"Kharadi,Pune",18.5438,73.9438,240.0,0,0
A1PTPN5SY7C7SW,Dealer,3 BHK,1294.0161560000001,3.0,1,"4 Bunglows,Mumbai",19.128324,72.825408,330.0,1,1
AZ7289G0ILRFF,Dealer,2 BHK,1536.806516,1.0,1,"Sector-3 Vaishali,Ghaziabad",28.6423,77.3445,100.0,0,0
ALSAOZ1V546VT,Owner,4 BHK,1123.188406,2.0,0,"Kaggadasapura,Bangalore",12.9816,77.6729,62.0,1,1
A1ORGHJ9LSZB03,Dealer,3 BHK,800.1939864,3.0,2,"Jhotwara,Jaipur",26.955346000000002,75.73479300000001,16.5,0,0
A1JM25M2PSVPXE,Dealer,2 BHK,2655.8073649999997,2.0,1,"Manpada,Maharashtra",19.239813,72.962722,300.0,0,0
A12T0F58OKHCIW,Dealer,2 BHK,1513.775356,2.0,1,"JP Nagar,Bangalore",12.905368,77.580403,100.0,1,1
A2APBHKZCMD6DO,Owner,2 BHK,1280.0,2.0,0,"Ponekkara,Kochi",9.930471,76.271273,48.0,0,0
A3F5EUYWKVWPJ6,Owner,3 BHK,410.0678733,3.0,1,"Sector-18 Vrindavan Colony,Lucknow",28.568846,77.324966,14.5,1,1
A2VJBGSGUC78FB,Dealer,3 BHK,3429.355281,2.0,2,"Vasna Road,Vadodara",22.312063000000002,72.674296,100.0,1,1
A1T61QP7QHYBRQ,Dealer,8 BHK,890.0451868999999,8.0,2,"Sector-25 Khandeshhwar,Mumbai",28.582887,77.339935,65.0,1,1
A2KTYAKU1PEVCI,Owner,5 BHK,977.7082518999999,3.0,1,"Bicholi Mardana,Indore",22.1764,75.8193,25.0,0,0
A3K24YL6ORL11F,Dealer,3 BHK,1099.855282,3.0,1,"Syndicate Bank Colony,Bangalore",12.977126,77.577724,38.0,0,0
AVI998S4IX2Y1,Owner,2 BHK,1050.241272,2.0,1,"Paota,Jodhpur",26.295640000000002,73.03943000000001,37.0,0,0
A2ANZVA56T7RAG,Dealer,2 BHK,1400.2418380000001,2.0,1,"Raj Nagar Extension,Ghaziabad",26.900926000000002,75.775927,57.9,1,1
ARYNM1E978YX8,Dealer,7 BHK,1740.139211,7.0,2,"Sector 19 Kharghar,Mumbai",19.048979,73.078232,180.0,1,1
A28RMYGO9RGA0K,Dealer,3 BHK,1149.131767,3.0,2,"Marol,Lalitpur",24.690279999999998,78.41889,180.0,1,1
A3JE18D4XD2PYF,Dealer,2 BHK,650.1950585,2.0,1,"Vadavalli,Coimbatore",11.026678,76.903583,20.0,1,1
A29ZSRDOYVO735,Owner,3 BHK,1355.01355,3.0,3,"Gopalpura Bypass,Jaipur",26.878068,75.77985600000001,85.0,1,1
A197O1VYM9B8A3,Dealer,3 BHK,1800.0720030000002,3.0,2,"Rasanna Colony,Bangalore",12.96991,77.59796,150.0,0,0
A3UV9TOZW3XXPV,Dealer,3 BHK,907.6305221000001,2.0,2,"Taloja,Maharashtra",21.56128,74.21238000000001,33.9,1,1
A250IZTJ5UN2EI,Dealer,2 BHK,1636.296021,2.0,1,"Budigere,Bangalore",13.141581,77.749756,88.0,0,0
A2IJOBHJXEZSS2,Owner,3 BHK,900.2520706,2.0,3,"Tarsali,Vadodara",22.261354,73.215533,25.0,1,1
A3U2QAY7SVE9AI,Owner,3 BHK,1318.0440230000002,2.0,2,"Doddakannelli,Bangalore",12.905538,77.694263,100.0,0,0
A3GIMXLOEPFJBV,Dealer,2 BHK,1949.5864510000001,2.0,2,"Sector-88 Mohali,Mohali",30.684523,76.691728,99.0,1,1
AMRMK86X3PKXD,Dealer,2 BHK,1643.36522,2.0,1,"Kakkanad,Kochi",9.930471,76.271273,67.0,0,0
A1TYA1IYI3LGUC,Dealer,2 BHK,1233.045623,2.0,2,"Kanjur Marg (East),Maharashtra",18.96,72.82,210.0,1,1
A2NO1TXXS9T0EE,Dealer,3 BHK,655.0802139,3.0,3,"Sector 20 Ulwe,Maharashtra",18.964489,73.019574,49.0,0,0
A1IRN1M05TPOVT,Owner,3 BHK,1180.173092,3.0,1,"Ferrar Nagar,Bangalore",12.96991,77.59796,75.0,1,1
ARONI7W0W677H,Owner,4 BHK,1200.0872789999999,2.0,0,"Sahibabad,Ghaziabad",28.6711,77.3683,55.0,0,0
A1Y3XPZK9ZADFW,Dealer,3 BHK,6974.645114,2.0,3,"New Alipore,Kolkata",22.530279999999998,88.33417,1700.0,1,1
A1Y3XPZK9ZADFW,Owner,2 BHK,2700.075602,2.0,1,"Sector-98 Noida,Noida",28.535689,77.35967099999999,250.0,1,1
A1ELZC3WXWILX2,Owner,3 BHK,850.0991782,3.0,1,"Ajmer Road,Jaipur",26.928784999999998,75.828002,30.0,0,0
A1X5RAIMX4ZSLJ,Dealer,4 BHK,2636.296531,2.0,2,"Konanakunte,Bangalore",12.8855,77.5638,250.0,1,1
A1IRN1M05TPOVT,Owner,3 BHK,900.0163639,3.0,1,"Roopena Agrahara,Bangalore",12.928575,77.58572099999999,55.0,0,0
A1S8ELUE383P8E,Dealer,2 BHK,2472.952087,2.0,0,"NIBM,Pune",18.475864,73.89000899999999,160.0,0,0
A2OEUROGZDTXUJ,Dealer,3 BHK,904.0656205,2.0,2,"Suraksha Nagar,Bangalore",20.098413,79.10786,50.7,1,1
A17V3UVYMI69TE,Dealer,3 BHK,265.0033933,2.0,1,"Andheri (East),Lalitpur",19.1145,72.8712,82.0,1,1
A22PUBSSNP54L,Dealer,2 BHK,1570.306924,2.0,1,"Tonk Road,Jaipur",26.16667,75.78333,110.0,0,0
A15USNEAJUXOSH,Dealer,3 BHK,955.4140127000001,2.0,2,"Hiranandani Estate,Lalitpur",19.255098,72.9815265,150.0,1,1
A15USNEAJUXOSH,Dealer,6 BHK,1000.0,3.0,0,"Sector-53 Noida,Noida",28.593566,77.362752,60.0,0,0
A2BLJGGWN8GTXQ,Dealer,1 BHK,2494.747899,1.0,1,"Kadugodi,Bangalore",12.995285,77.766797,95.0,1,1
A1FXCNUVQ6FOMC,Owner,2 BHK,1150.1303480000001,2.0,1,"Villivakkam Near ICF Bus Stand,Chennai",13.1101,80.2095,75.0,0,0
A926YP1BSD72Y,Dealer,3 BHK,1210.136674,2.0,1,"Kamothe,Mumbai",19.0168,73.09646,85.0,1,1
A33PLZ7SD5MCG0,Dealer,3 BHK,1365.001365,3.0,3,"Sector-11 Ghansoli,Mumbai",19.126499,72.99956,200.0,0,0
A3EEBE82C3HYRD,Dealer,3 BHK,499.6366279,3.0,2,"Hiranandani Estate,Maharashtra",19.255098,72.9815265,110.0,1,1
A35JPD8Q492FJC,Dealer,5 BHK,1050.144395,3.0,2,"Manjalpur,Vadodara",22.271214,73.188827,40.0,0,0
A391CLP4UMXJQG,Owner,1 BHK,476.0204688999999,1.0,0,"Madanandapuram,Chennai",13.020957000000001,80.152774,40.0,0,0
AYB4ELCS5AM8P,Dealer,1 BHK,985.452839,1.0,2,"Hajipur,Noida",28.538774,77.366515,21.0,1,1
A2GOE7ITDGYVE,Dealer,2 BHK,1045.296167,1.0,1,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,24.0,1,1
A19G8B2QYETD7W,Dealer,2 BHK,1301.89498,2.0,3,"Sarjapur Road,Bangalore",12.86,77.786,90.0,1,1
A3PZ4AXTY9J1DZ,Owner,3 BHK,2000.0,3.0,2,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,38.0,0,0
ACFPHOYVB71V4,Dealer,3 BHK,4465.709729,3.0,2,"Sector-108 Noida,Noida",28.526623999999998,77.37671800000001,280.0,1,1
A1H80WDFOR94Q5,Dealer,3 BHK,1192.0,3.0,2,"Nayapalli,Bhubaneswar",20.286571,85.810906,59.6,0,0
A3Q5YZNYGGUP8W,Dealer,2 BHK,1846.1538460000002,2.0,1,"New Town,Kolkata",22.5922,88.484911,120.0,1,1
AKRLMISQPL8QW,Dealer,3 BHK,448.5310608,3.0,2,"Kanjur Marg (East),Mumbai",19.221571,73.042474,120.0,1,1
A2MUGFV2TDQ47K,Owner,2 BHK,750.0604887000001,2.0,2,"Gyan Khand 2,Ghaziabad",28.66667,77.41667,31.0,0,0
A1465JH39KR5O5,Dealer,2 BHK,1060.0706710000002,2.0,1,"Roadpali,Maharashtra",19.040066,73.115347,72.0,1,1
A1L17QW3R7A519,Dealer,2 BHK,1415.09434,2.0,0,"Electronic City Phase II,Bangalore",12.8458,77.6727,79.5,1,1
AOSFLVLMAG0N5,Dealer,2 BHK,1160.062565,2.0,2,"Sector-35G Kharghar,Maharashtra",18.96,72.82,89.0,0,0
A2H2Q5RW1K56AI,Dealer,4 BHK,1690.024732,2.0,1,"Goregaon (East),Lalitpur",19.1615,72.8731,410.0,1,1
A13VD7TJDWVOEC,Owner,3 BHK,1672.762741,2.0,3,"Sector-143B Noida,Noida",28.495803000000002,77.42684799999999,68.6,0,0
AKKQKYX8ODUAF,Owner,4 BHK,1315.265046,3.0,2,"RM Park,Valsad",20.606469,72.913465,33.0,1,1
A3RB0YBBYGXBYE,Dealer,7 BHK,650.026001,7.0,1,"Kalyan (West),Mumbai",19.245347,73.124577,50.0,0,0
A3492ZW10B65ON,Owner,2 BHK,540.1755571,2.0,2,"Saphale,Palghar",19.585537,72.83686800000001,16.0,1,1
